2026-08-21T08:29:35.919244 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:36.216085 - Starting polling fallback for Execution c82eefc3-fdd7-4f34-ad80-3d7c3d3d0b33 (Lead: bulk_1787300975793_8)
2026-08-21T08:29:36.454116 - Poll 1: Status=initiated, TranscriptLen=0
2026-08-21T08:29:36.577862 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-21T08:29:36.723961 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-21T08:29:37.112519 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-21T08:29:37.115690 - Starting polling fallback for Execution a7da3fc9-d61f-44e9-a370-9e30a35fa33b (Lead: bulk_1787300976721_9)
2026-08-21T08:29:37.377745 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T08:29:37.657358 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:38.002688 - Starting polling fallback for Execution a87297f7-a0c8-4965-b42a-b7e351ab8e92 (Lead: bulk_1787300977618_10)
2026-08-21T08:29:38.024480 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-21T08:29:38.373735 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T08:29:38.573334 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-21T08:29:38.853998 - Poll 2: Status=initiated, TranscriptLen=0
2026-08-21T08:29:38.894394 - Starting polling fallback for Execution aec16af6-ed6f-499a-b774-86efab9613a0 (Lead: bulk_1787300978502_11)
2026-08-21T08:29:38.971675 - Poll 3: Status=ringing, TranscriptLen=0
2026-08-21T08:29:39.175652 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T08:29:39.441669 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-21T08:29:39.494563 - Poll 3: Status=ringing, TranscriptLen=0
2026-08-21T08:29:39.784629 - Starting polling fallback for Execution 6f50f6a9-9a0d-4f55-855e-d261c0ed4619 (Lead: bulk_1787300979410_12)
2026-08-21T08:29:39.794052 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-21T08:29:40.076548 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-21T08:29:40.321805 - Poll 0: Status=queued, TranscriptLen=0
2026-08-21T08:29:40.394071 - Poll 3: Status=ringing, TranscriptLen=0
2026-08-21T08:29:40.699682 - Starting polling fallback for Execution 9fdb9396-dcdd-4526-b4b7-152ef2ef7855 (Lead: bulk_1787300980287_13)
2026-08-21T08:29:40.746984 - Poll 2: Status=ringing, TranscriptLen=0
